item_id,parent_id,item_name,price,mod_group
26,4,D64 Iced Teh Cino,200,1
0,0,undefined,300,
29,4,Iced Bandung,150,1
1,0,Thai Kitchen,,
2,0,Indian Kitchen,,
3,0,Western Kitchen,,
4,0,Drinks,,
5,0,Desserts,,
6,1,Mee / Beehoon / Kwayteow / Maggie,,
7,1,Steam Rice w/ Chicken / Beef / Sliced Fish / Cuttlefish / Prawn,,
8,1,Fried Rice,,
9,2,Breads & Naans,,
10,2,Chicken,,
11,2,Rice,,
12,2,Mutton,,
13,2,Seafood,,
14,2,Vegetables,,
15,3,Finger Food,,
16,3,Pasta,,
17,3,Salad,,
18,3,Kebab,,
19,3,Roti John,,
20,3,Burger,,
21,3,Fish,,
22,3,Lamb,,
23,3,Steak,,
24,3,Chicken,,
31,5,Red Bean Ice Kachang,300,
32,6,Tomyam,,
33,6,Bandung Soup,,
34,6,Hong Kong,,
35,6,Hailam,,
36,6,Thai Style Fried w/ Chicken Prawn and Cuttlefish,,
37,6,Sambal Style Fried w/ Chicken,,
38,6,Chinese Style Fried,,
39,6,Fried w/ Beef,,
40,6,Fried w/ Seafood,,
41,6,Pataya,,
42,6,Fried with Cockles,,
43,7,Steam Rice w/ Chicken,,
44,7,Steam Rice w/ Beef,,
45,7,Steam Rice w/ Sliced Fish,,
46,7,Steam Rice w/ Cuttlefish,,
47,7,Steam Rice w/ Prawn,,
48,8,T47 FR Chinese Style w/ Chicken,400,
49,8,T48 FR Thai Style w/ Chicken Prawn Cuttlefish,480,
50,8,T49 FR Ikan Bilis & Egg,450,
51,8,T50 FR Tomato & Chicken,450,
52,8,T51 FR Fried Chicken w/ Chilli Sauce,450,
53,8,T52 FR Salted Fish,400,
54,8,T53 FR Kampong Style (Regular),480,
55,8,T53 FR Kampong Style (Large),600,
56,8,T54 FR Cockles,450,
57,8,T55 FR Pataya (Chicken),550,
58,8,T55 FR Pataya (Beef),550,
59,8,T55 FR Pataya (Seafood),550,
60,8,T56 FR Chinese Style w/ Red Chilli Beef,550,
61,8,T56 FR Thai Style w/ Red Chilli Beef,550,
62,8,T57 FR Chinese Style Hot & Spicy (Chicken),550,
63,8,T57 FR Chinese Style Hot & Spicy (Seafood),550,
64,8,T58 FR Thai Style Hot & Spicy (Chicken),550,
65,8,T58 FR Thai Style Hot & Spicy (Seafood),550,
66,8,T59 FR Chinese Style w/ Black Oyster Sauce (Beef),550,
67,8,T59 FR Chinese Style w/ Black Oyster Sauce (Chicken),550,
68,8,T60 FR Button Mushroom & Egg,450,
69,8,T61 FR Sambal Mushroom & Chicken,550,
70,8,T62 FR 3 Tastes (Sweet Sour Spicy) w/ Chicken & Seafood,600,
71,8,T63 FR Sambal w/ Fried Sambal Chicken,550,
72,8,T64 FR Black Pepper (Chicken),550,
73,8,T64 FR Black Pepper (Beef),550,
74,8,T65 FR Pineapple w/ Chicken & Seafood,500,
75,8,T66 FR Chinese Style w/ Sweet & Sour (Chicken),550,
76,8,T66 FR Chinese Style w/ Sweet & Sour (Sliced Fish),550,
77,8,T67 FR Chinese Style w/ Ginger Brown Sauce (Chicken),550,
78,8,T67 FR Chinese Style w/ Ginger Brown Sauce (Beef),550,
79,8,T68 FR Thai Style w/ Crispy Ginger Yellow Chicken & Egg,600,
80,8,T69 FR Bush (Yellow FR w/ Egg Hot & Spicy Chicken),600,
81,8,T70 FR Obama (Yellow FR w/ Egg Hot & Spicy Beef),600,
82,8,T71 FR Thai Style w/ Chicken Egg Sambal,550,
83,8,T71 FR Chinese Style w/ Chicken Egg Sambal,550,
84,8,T72 FR Al Amaan (Special),700,
85,9,N13 Plain Naan,150,
86,9,N14 Butter Naan,170,
87,9,N15 Garlic Naan,250,
88,9,N16 Kashmiri Naan,400,
89,9,N17 Cheese Naan,300,
90,9,N18 Kheema Naan,400,
91,9,N19 Aloo Pratha,250,
92,9,N20 Poodina Pratha,200,
93,9,N21 Garlic & Onion Kulcha,350,
94,9,N22 Tandoori Roti,150,
